name,state,FDR,A1,A2,A3,B1,B2,B3
GENE-17722,YES,0,1615,1781,1556,171,171,149
GENE-17728,YES,0,13,19,14,35,64,53
GENE-17842,YES,0,498,954,635,29,34,56
GENE-17937,YES,0,2421,2339,1564,1002,1214,886
GENE-18021,YES,0,8,5,9,52,42,121
GENE-18036,YES,0,25,28,23,62,65,57
GENE-18120,YES,0,139,121,136,105,73,95
GENE-18121,YES,0,78,95,83,907,839,885
GENE-18216,YES,0,488,449,426,68,80,94
GENE-18224,YES,0,3188,3368,3202,800,535,568
GENE-18370,YES,0,647,651,513,30,36,47
GENE-18564,YES,0,29,32,32,14,6,6
GENE-18606,YES,0,26,44,72,20,31,16
GENE-18615,YES,0,267,334,321,358,348,338
GENE-18844,YES,0,560,549,478,440,316,264
GENE-18884,YES,0,496,482,673,3654,2876,3055
GENE-18935,YES,0,236,130,140,66,114,86
GENE-18939,YES,0,289,293,244,12,16,11
GENE-18974,YES,0,213,321,233,587,358,339
GENE-19027,YES,0,162,111,107,237,212,142
GENE-19046,YES,0,99,85,131,237,305,277
GENE-19353,YES,0,72,84,86,138,144,157
GENE-19529,YES,0,86,84,74,161,197,232
GENE-19587,YES,0,116,124,123,190,221,180
GENE-19643,YES,0,71,113,78,1109,973,880
GENE-19790,YES,0,26,11,8,12,18,11
GENE-19876,YES,0,5,18,14,137,172,124
GENE-19895,YES,0,7549,5998,7167,1499,1737,1697
GENE-19946,YES,0,91,76,105,38,48,31
GENE-1,NO,1,0,0,0,0,0,0
GENE-2,NO,1,0,0,0,0,0,0
GENE-3,NO,1,0,0,0,0,0,0
GENE-4,NO,1,0,0,0,0,0,0
GENE-5,NO,1,1,2,2,3,4,2
GENE-6,NO,1,0,0,0,0,0,0
GENE-7,NO,1,154,94,324,211,119,155
GENE-8,NO,1,0,0,0,0,0,0
GENE-9,NO,1,261,104,304,224,182,223
GENE-10,NO,1,0,0,0,0,0,0
GENE-11,NO,1,1,0,0,1,2,0
GENE-12,NO,1,269,321,294,294,275,310
GENE-13,NO,1,14,12,25,17,12,21
GENE-14,NO,1,0,0,0,0,0,0
GENE-15,NO,1,0,0,0,0,0,0
GENE-16,NO,1,40,33,46,31,36,37
GENE-17,NO,1,0,0,0,0,0,0
GENE-18,NO,1,0,0,0,0,0,0
GENE-19,NO,1,0,0,0,0,0,0
GENE-20,NO,1,3,2,2,3,1,1
GENE-21,NO,1,2221,3089,2952,6532,3301,2346
GENE-22,NO,1,0,0,0,0,0,0
GENE-23,NO,1,0,0,0,0,0,0
GENE-24,YES,1,0,0,0,0,0,0
GENE-25,NO,1,0,0,0,0,0,0
GENE-26,NO,1,0,0,0,0,0,0
GENE-27,NO,1,1715,1395,1484,1680,1464,1289
GENE-28,NO,1,1,3,1,0,0,4
GENE-29,NO,1,0,0,0,0,0,0
GENE-30,NO,1,0,0,0,0,0,0
GENE-31,NO,1,56,82,88,77,89,70
GENE-32,NO,1,8,7,4,3,4,5
GENE-33,NO,1,0,0,0,0,0,0
GENE-34,NO,1,387,336,452,345,529,487
GENE-35,NO,1,0,0,0,0,0,0
GENE-36,NO,1,7,17,12,8,12,8
GENE-37,NO,1,0,0,0,0,0,0
GENE-38,NO,1,0,0,0,0,0,0
GENE-39,NO,1,277,223,256,207,256,275
GENE-40,NO,1,0,0,0,0,0,0
GENE-41,NO,1,2283,3463,5201,4609,5304,3747
GENE-42,NO,1,0,0,0,0,0,0
GENE-43,NO,1,184,162,147,175,117,132
GENE-44,NO,1,0,0,0,0,0,0
GENE-45,NO,1,28,20,11,24,27,28
GENE-46,NO,1,1548,1559,1358,1374,1498,1394
GENE-47,NO,1,0,0,0,0,0,0
GENE-48,NO,1,0,0,0,0,0,0
GENE-49,NO,1,0,0,0,0,0,0
GENE-50,NO,1,281,209,251,185,184,170
GENE-51,NO,1,0,0,0,0,0,0
GENE-52,NO,1,0,0,0,0,0,0
GENE-53,NO,1,0,0,0,0,0,0
GENE-54,NO,1,0,0,0,0,0,0
GENE-55,NO,1,17,22,24,22,25,27
GENE-56,NO,1,0,0,0,0,0,0
GENE-57,NO,1,0,0,0,0,0,0
GENE-58,NO,1,1,1,2,2,1,1
GENE-59,NO,1,6,4,4,2,3,3
GENE-60,NO,1,0,0,0,0,0,0
GENE-61,YES,1,0,0,0,0,0,0
GENE-62,NO,1,0,0,0,0,0,0
GENE-63,NO,1,0,0,0,0,0,0
GENE-64,NO,1,0,0,0,0,0,0
GENE-65,NO,1,0,0,0,0,0,0
GENE-66,NO,1,0,0,0,0,0,0
GENE-67,NO,1,5,3,7,7,2,2
GENE-68,NO,1,292,616,206,144,916,103
GENE-69,NO,1,3,3,3,7,2,6
GENE-70,NO,1,0,0,0,0,0,0
GENE-71,NO,1,0,0,0,0,0,0
GENE-72,NO,1,0,0,0,0,0,0
GENE-73,NO,1,0,0,0,0,0,0
GENE-74,NO,1,1,0,0,0,0,3
GENE-75,NO,1,0,0,0,0,0,0
GENE-76,NO,1,0,0,0,0,0,0
GENE-77,NO,1,0,0,0,0,0,0
GENE-78,NO,1,1,3,2,2,2,0
GENE-79,NO,1,0,3,2,4,1,4
GENE-80,NO,1,7,2,3,1,4,4
GENE-81,NO,1,0,0,0,0,0,0
GENE-82,NO,1,3,5,4,12,12,4
GENE-83,NO,1,0,0,0,0,0,0
GENE-84,NO,1,0,0,0,0,0,0
GENE-85,NO,1,0,0,0,0,0,0
GENE-86,NO,1,2,6,2,5,5,7
GENE-87,NO,1,913,1013,733,871,741,816
GENE-88,NO,1,0,0,0,0,0,0
GENE-89,NO,1,460,388,323,445,418,365
GENE-90,NO,1,0,0,0,0,0,0
GENE-91,NO,1,0,0,0,0,0,0
GENE-92,NO,1,1859,1992,979,1977,2082,2168
GENE-93,NO,1,0,0,0,0,0,0
GENE-94,NO,1,0,1,2,2,1,1
GENE-95,NO,1,3,1,3,5,3,3
GENE-96,NO,1,0,0,0,0,0,0
GENE-97,NO,1,0,0,0,0,0,0
GENE-98,NO,1,699,613,770,693,737,578
GENE-99,NO,1,0,0,0,0,0,0
GENE-100,NO,1,0,0,0,0,0,0
GENE-101,NO,1,0,1,0,0,0,1
GENE-102,NO,1,0,0,0,0,0,0
GENE-103,NO,1,0,0,0,0,0,0
GENE-104,NO,1,0,0,0,0,0,0
GENE-105,NO,1,0,0,0,0,0,0
GENE-106,YES,1,0,0,0,0,0,0
GENE-107,NO,1,0,0,0,0,0,0
GENE-108,NO,1,53,82,67,57,57,52
GENE-109,NO,1,0,0,0,0,0,0
GENE-110,NO,1,12,19,30,16,18,22
GENE-111,NO,1,0,0,0,0,0,0
GENE-112,NO,1,0,0,0,0,0,0
GENE-113,NO,1,1,114,283,130,595,61
GENE-114,NO,1,0,0,0,0,0,0
GENE-115,NO,1,0,0,0,0,0,0
GENE-116,NO,1,0,0,0,0,0,0
GENE-117,NO,1,4,4,1,2,5,3
GENE-118,NO,1,0,0,0,0,0,0
GENE-119,NO,1,0,0,0,0,0,0
GENE-120,NO,1,11,27,13,15,19,24
GENE-121,NO,1,0,0,0,0,0,0
GENE-122,NO,1,0,0,0,0,0,0
GENE-123,NO,1,0,0,0,0,0,0
GENE-124,NO,1,1,2,1,2,1,0
GENE-125,NO,1,0,0,0,0,0,0
GENE-126,NO,1,0,0,0,0,0,0
GENE-128,NO,1,0,0,0,0,0,0
GENE-129,YES,1,0,0,0,0,0,0
GENE-130,NO,1,4,7,8,12,7,7
GENE-131,NO,1,244,286,250,238,226,257
GENE-132,NO,1,0,0,0,0,0,0
GENE-133,NO,1,0,0,0,0,0,0
GENE-134,NO,1,47,50,54,63,54,66
GENE-135,NO,1,0,0,0,0,0,0
GENE-136,NO,1,0,0,0,0,0,0
GENE-137,NO,1,24,43,27,38,31,30
GENE-138,NO,1,5,4,2,3,8,0
GENE-139,NO,1,0,0,0,0,0,0
GENE-140,NO,1,0,0,0,0,0,0
GENE-141,NO,1,0,0,0,0,0,0
GENE-142,NO,1,0,0,0,0,0,0
GENE-143,NO,1,165,102,159,196,120,181
GENE-144,NO,1,0,0,0,0,0,0
GENE-145,NO,1,17,15,15,1,12,2
GENE-146,NO,1,0,0,2,1,1,1
GENE-147,NO,1,0,0,0,0,0,0
GENE-148,NO,1,0,0,0,0,0,0
GENE-149,NO,1,0,0,0,0,0,0
GENE-150,NO,1,0,0,0,0,0,0
GENE-151,NO,1,79,154,90,107,104,121
GENE-152,NO,1,96,932,580,256,174,265
GENE-153,NO,1,1,0,0,1,1,0
GENE-154,NO,1,246,194,251,265,230,262
GENE-156,NO,1,14,13,11,13,7,10
GENE-157,NO,1,28,14,21,17,8,10
GENE-158,NO,1,0,0,0,0,0,0
GENE-159,NO,1,275,873,530,650,649,735
GENE-160,NO,1,2,7,6,2,0,11
GENE-161,NO,1,0,0,0,0,0,0
GENE-162,NO,1,1311,1352,1385,1316,1372,1403
GENE-163,NO,1,1,3,1,1,1,2
GENE-164,NO,1,0,1,0,2,1,1
GENE-165,NO,1,0,0,0,0,0,0
GENE-166,NO,1,6,4,9,8,11,8
GENE-167,NO,1,0,0,0,0,0,0
GENE-168,NO,1,0,0,0,0,0,0
GENE-169,NO,1,0,0,0,0,0,0
GENE-170,NO,1,0,0,0,0,0,0
GENE-171,NO,1,357,304,203,411,456,390
GENE-172,NO,1,0,0,0,0,0,0
GENE-173,NO,1,0,0,0,0,0,0
GENE-174,NO,1,0,0,0,0,0,0
GENE-175,NO,1,0,0,0,0,0,0
GENE-176,NO,1,0,0,0,0,0,0
GENE-177,NO,1,0,0,0,0,0,0
GENE-178,NO,1,0,0,0,0,0,0
GENE-179,NO,1,0,0,0,0,0,0
GENE-180,NO,1,0,0,0,0,0,0
GENE-181,NO,1,4,3,7,11,2,5
GENE-182,NO,1,0,0,0,0,0,0
GENE-183,NO,1,0,0,0,0,0,0
GENE-184,NO,1,32,13,12,31,18,56
GENE-185,NO,1,0,0,0,0,0,0
GENE-186,NO,1,0,0,0,0,0,0
GENE-187,NO,1,0,0,0,0,0,0
GENE-188,NO,1,0,0,0,0,0,0
GENE-189,NO,1,0,0,0,0,0,0
GENE-190,NO,1,0,0,0,0,0,0
GENE-191,NO,1,177,175,185,215,184,146
GENE-192,NO,1,0,0,0,0,0,1
GENE-193,NO,1,0,0,0,0,0,0
GENE-194,NO,1,0,0,0,0,0,0
GENE-195,NO,1,0,0,0,0,0,0
GENE-196,YES,1,0,0,1,0,1,1
GENE-197,NO,1,1,1,1,2,0,1
GENE-198,NO,1,0,0,0,0,0,0
GENE-200,YES,1,0,0,0,0,0,0
GENE-201,NO,1,0,0,0,0,0,0
GENE-202,NO,1,0,0,0,0,0,0
GENE-203,NO,1,0,0,0,0,0,0
GENE-204,NO,1,100,95,68,170,139,108
GENE-205,NO,1,927,1143,992,953,1152,994
GENE-206,NO,1,4,9,4,17,32,14
GENE-207,NO,1,1084,1475,1217,973,1044,1456
GENE-208,NO,1,0,0,0,0,0,0
GENE-209,NO,1,0,0,0,0,0,0
GENE-210,NO,1,0,0,0,0,0,0
GENE-211,YES,1,11,5,16,3,0,0
GENE-212,NO,1,0,0,0,0,0,0
GENE-213,NO,1,0,0,0,0,0,0
GENE-214,NO,1,0,0,0,0,0,0
GENE-215,NO,1,0,0,0,0,0,0
GENE-216,NO,1,158,168,166,150,156,151
GENE-217,NO,1,0,0,0,0,0,0
GENE-218,NO,1,0,0,0,0,0,0
GENE-219,NO,1,0,0,0,0,0,0
GENE-220,NO,1,0,0,0,0,0,0
GENE-221,NO,1,0,0,0,0,0,0
GENE-222,NO,1,0,0,0,0,0,0
GENE-223,NO,1,0,0,0,0,0,0
GENE-224,NO,1,0,0,0,0,0,0
GENE-225,NO,1,74,73,73,61,73,67
GENE-226,NO,1,0,0,0,0,0,0
GENE-227,NO,1,0,0,0,0,0,0
GENE-228,NO,1,0,0,0,0,0,0
GENE-229,YES,1,1,0,0,0,0,2
GENE-230,NO,1,0,0,0,0,0,0
GENE-231,NO,1,0,1,0,0,0,0
GENE-232,NO,1,0,0,0,0,0,0
GENE-233,NO,1,0,0,0,0,0,0
GENE-234,NO,1,0,0,0,0,0,0
GENE-235,NO,1,0,0,0,0,0,0
GENE-236,NO,1,421,224,251,280,302,323
GENE-237,NO,1,0,0,0,0,0,0
GENE-238,NO,1,0,0,0,0,0,0
GENE-239,NO,1,0,0,0,0,0,0
GENE-240,NO,1,0,0,0,0,0,0
GENE-241,NO,1,0,0,0,0,0,0
GENE-242,NO,1,0,0,0,0,0,0
GENE-243,NO,1,0,0,0,0,0,0
GENE-244,NO,1,98,41,77,64,93,142
GENE-245,NO,1,0,0,0,0,0,0
GENE-246,NO,1,0,0,0,0,0,0
GENE-247,YES,1,0,0,0,0,0,0
GENE-248,NO,1,0,0,0,0,0,0
GENE-249,NO,1,0,0,0,0,0,0
GENE-250,NO,1,0,0,0,0,0,0
GENE-251,NO,1,0,0,0,0,0,0
GENE-252,NO,1,0,0,0,0,0,0
GENE-253,NO,1,5,2,10,14,7,9
GENE-254,NO,1,0,0,0,0,0,0
GENE-255,NO,1,0,0,0,0,0,0
GENE-256,NO,1,1,1,1,2,2,0
GENE-257,NO,1,0,0,0,0,0,0
GENE-258,NO,1,0,0,0,0,0,0
GENE-259,YES,1,0,0,0,0,0,0
GENE-260,NO,1,1,0,2,3,1,1
GENE-261,NO,1,0,0,0,0,0,0
GENE-262,NO,1,0,0,0,0,0,0
GENE-263,NO,1,0,0,0,0,0,0
GENE-264,NO,1,29,53,25,69,56,83
GENE-265,NO,1,0,0,0,0,0,0
GENE-266,NO,1,0,0,0,0,0,0
GENE-267,NO,1,13108,12420,11890,11336,12731,10741
GENE-268,NO,1,0,0,0,0,0,0
GENE-269,NO,1,754,699,544,933,770,556
GENE-270,NO,1,0,0,0,0,0,0
GENE-271,NO,1,0,0,0,0,0,0
GENE-272,NO,1,0,0,0,0,0,0
GENE-273,NO,1,0,0,0,0,0,0
GENE-274,YES,1,0,0,0,0,0,0
GENE-275,NO,1,0,0,0,0,0,0
GENE-276,NO,1,134,125,104,124,111,157
GENE-277,NO,1,0,0,0,0,0,0
GENE-278,NO,1,0,0,0,0,0,0
GENE-279,NO,1,0,0,0,0,0,0
GENE-280,NO,1,0,0,0,0,0,1
GENE-281,NO,1,430,492,652,723,701,596
GENE-282,NO,1,36,38,44,56,34,57
GENE-283,NO,1,0,0,0,0,0,0
GENE-284,NO,1,0,0,0,0,0,0
GENE-285,YES,1,1,2,1,3,0,3
GENE-286,NO,1,0,0,0,0,0,0
GENE-287,NO,1,0,0,0,0,0,0
GENE-288,NO,1,0,0,0,0,0,0
GENE-289,NO,1,0,0,0,0,0,0
GENE-290,NO,1,276,344,285,309,349,352
GENE-291,NO,1,0,0,0,0,0,0
GENE-292,NO,1,0,0,0,0,0,0
GENE-293,NO,1,0,0,0,0,0,0
GENE-294,NO,1,41,33,34,50,16,37
GENE-295,NO,1,168,200,168,161,216,162
GENE-296,NO,1,0,0,0,0,0,0
GENE-297,NO,1,19,16,25,20,25,45
GENE-298,NO,1,481,600,499,627,519,594
GENE-299,NO,1,268,75,33,11,133,212
GENE-300,NO,1,8,5,8,7,5,11
GENE-301,NO,1,0,0,0,0,0,0
GENE-302,NO,1,0,0,0,0,0,0
GENE-303,NO,1,0,0,0,0,0,0
GENE-304,NO,1,0,0,0,0,0,0
GENE-305,NO,1,0,0,0,0,0,0
GENE-306,NO,1,0,0,0,0,0,0
GENE-307,NO,1,0,0,0,0,0,0
GENE-308,NO,1,17,16,10,20,19,17
GENE-309,NO,1,0,0,0,0,0,0
GENE-310,NO,1,0,0,0,0,0,0
GENE-311,NO,1,501,648,519,622,851,384
GENE-312,NO,1,0,0,0,0,0,0
GENE-313,NO,1,0,0,0,0,0,0
GENE-314,NO,1,528,1185,2012,247,750,913
GENE-315,NO,1,0,0,0,0,0,0
GENE-316,NO,1,152,200,128,144,215,123
